municipality,year,week,season,ndvi,evi,temperature,temperature_max,temperature_min,rainfall_total,humidity,solar_radiation,wind_speed
Malinao,2014,16,Hot Dry,0.7436,0.4654,27.42142857,27.99,26.8,15.32,81.52285714285713,21.638571428571428,3.4585714285714286
Malinao,2014,17,Hot Dry,0.7179,0.4406,28.40285714,28.61,28.1,2.91,77.63428571428572,23.29428571428572,3.3328571428571427
Malinao,2014,18,Hot Dry,0.7223,0.5199,28.33285714,28.74,27.94,0.23,79.46428571428571,22.205714285714286,3.481428571428572
Malinao,2014,19,Hot Dry,0.6741,0.4237,28.85857143,29.21,28.4,12.24,76.02857142857144,24.08142857142857,3.761428571428572
Malinao,2014,20,Hot Dry,0.7214,0.4409,29.03,29.26,28.86,6.68,76.23,23.312857142857144,3.475714285714285
Malinao,2014,21,Hot Dry,0.6989,0.4568,29.51428571,30.16,29.0,10.72,74.05,23.054285714285715,2.892857142857143
Malinao,2014,23,Wet,0.6079,0.4011,30.27142857,31.04,29.6,26.44,68.75714285714285,20.722857142857144,1.8585714285714283
Malinao,2014,24,Wet,0.6455,0.4244,28.90571429,29.68,28.45,39.42,79.54142857142857,20.99428571428572,3.152857142857143
Malinao,2014,25,Wet,0.7587,0.4833,28.68428571,29.52,28.18,44.44,79.72428571428573,20.542857142857144,3.472857142857144
Malinao,2014,26,Wet,0.759,0.5572,27.97285714,28.61,27.3,40.03,81.95714285714287,15.191428571428572,3.787142857142858
Malinao,2014,27,Wet,0.5681,0.3941,27.91,28.71,27.59,15.329999999999998,82.70714285714287,19.73,3.97
Malinao,2014,28,Wet,0.5102,0.3254,27.36285714,28.47,26.72,254.14,85.65714285714286,14.082857142857142,4.404285714285714
Malinao,2014,29,Wet,0.1108,0.0938,26.95428571,27.48,26.27,52.51,86.00857142857144,13.817142857142857,5.49
Malinao,2014,31,Wet,0.6013,0.386,26.94428571,27.21,26.54,13.67,87.52857142857144,14.514285714285714,5.845714285714286
Malinao,2014,32,Wet,0.7396,0.5401,27.40857143,27.87,26.61,0.0,84.66285714285713,21.215714285714284,4.641428571428572
Malinao,2014,33,Wet,0.7743,0.5227,27.75285714,28.63,27.24,32.03,80.28857142857143,20.65428571428572,2.345714285714286
Malinao,2014,34,Wet,0.4887,0.3761,27.59428571,28.13,27.16,81.87,80.63,19.595714285714287,1.851428571428572
Malinao,2014,35,Wet,0.8061,0.5119,26.9,27.25,26.35,95.48,84.04285714285713,16.102857142857143,2.9785714285714286
Malinao,2014,36,Wet,0.7115,0.5854,26.88857143,27.42,26.34,61.46,83.53,15.075714285714286,3.0357142857142856
Malinao,2014,37,Wet,0.7956,0.4983,26.97714286,28.11,26.2,184.4,85.52142857142857,11.57,4.508571428571429
Malinao,2014,39,Wet,0.7812,0.5716,27.32428571,28.01,26.5,213.29,85.82857142857142,15.792857142857144,4.952857142857143
Malinao,2014,40,Wet,0.7618,0.5531,27.76857143,28.3,27.37,18.85,82.12285714285714,20.43857142857143,2.3042857142857143
